scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
satur/ultra	oficial	16	66.633700	0.000500	0.000800	0.001500	0.077067	0.028670	3.601781	3601781.080744	12.632064	78.950400	1.769851	2.362603
satur/ultra	g1-ring	16	34.010300	0.000400	0.001200	0.002000	0.031067	0.016380	7.056686	7056685.768723	11.366461	71.040380	3.467529	4.628862
satur/ultra	g2-sub	16	81.494100	0.000600	0.001000	0.002400	0.037033	0.016860	2.944998	2944998.472282	12.074573	75.466079	1.447119	1.931784
satur/ultra	g3-wrk	16	132.965600	0.000500	0.000900	0.002800	0.051333	0.017600	1.804978	1804978.129682	12.672915	79.205718	0.886934	1.183983
satur/ultra	g4-park	16	79.724000	0.000500	0.000800	0.001700	0.035367	0.016570	3.010386	3010385.831117	12.135200	75.844998	1.479250	1.974675
satur/ultra	all	16	74.399700	0.000400	0.000800	0.001200	0.079567	0.021850	3.225819	3225819.458949	12.192568	76.203553	1.585110	2.115990
satur/ultra	final	16	42.642100	0.000400	0.000800	0.001300	0.029567	0.017690	5.628241	5628240.635428	10.701505	66.884407	2.765617	3.691868
satur/ultra	TBB	16	117.931700	0.001500	0.004900	0.009500	0.144600	0.057140	2.035076	2035076.234804	14.737300	92.108126	1.000000	1.334917
satur/ultra	WinTP	16	157.429000	0.015200	0.051800	0.084200	0.155533	0.135310	1.524497	1524496.757268	4.078344	25.489648	0.749110	1.000000
rajada-curta/media	oficial	16	17.516900	0.000500	0.000900	0.001700	0.023867	0.011020	3.425264	3425263.602578	10.703949	66.899680	1.690904	2.243017
rajada-curta/media	g1-ring	16	10.819000	0.000400	0.000700	0.001200	0.023633	0.009200	5.545799	5545799.057214	0.000000	0.000000	2.737721	3.631639
rajada-curta/media	g2-sub	16	20.996900	0.000500	0.000900	0.002300	0.079767	0.026450	2.857565	2857564.688121	8.929890	55.811810	1.410656	1.871262
